item_date,customer,country,status,item type,application,width,product_ref,delivery date,quantity_tons_log,thickness_log,selling_price_log,Date_difference,item_date_day,item_date_month,item_date_year
2021-03-24,30155929.0,25.0,1.0,5.0,41.0,1220.0,611993.0,2021-01-01,4.498107188374379,-0.8915981192837836,6.836259277277067,-82,24,3,2021
2021-03-24,30155929.0,25.0,1.0,5.0,41.0,1220.0,611993.0,2021-01-01,4.67178630897802,-0.8915981192837836,6.833031732786201,-82,24,3,2021
2021-03-24,30209675.0,25.0,1.0,5.0,41.0,930.0,611993.0,2021-03-01,4.624722580017754,-0.579818495252942,7.002155954403621,-23,24,3,2021
2021-03-24,30198408.0,25.0,1.0,2.0,10.0,1500.0,1693867550.0,2021-03-01,3.6230557885986387,0.4054651081081644,6.71295620067707,-23,24,3,2021
2021-03-24,30198408.0,25.0,1.0,2.0,10.0,1500.0,1693867550.0,2021-03-01,3.7462384493360945,1.0986122886681098,6.70073110954781,-23,24,3,2021
2021-03-24,30198408.0,25.0,1.0,2.0,10.0,1500.0,1332077137.0,2021-03-01,5.541962858620974,0.6931471805599453,6.666956792429207,-23,24,3,2021
2021-03-24,30338548.0,40.0,6.0,3.0,10.0,1500.0,1668701718.0,2021-03-01,3.155930816135073,0.4054651081081644,6.966024187106113,-23,24,3,2021
2021-03-24,30338548.0,40.0,6.0,3.0,10.0,1500.0,1668701718.0,2021-03-01,3.189904903151034,0.0,6.9865664594064265,-23,24,3,2021
2021-03-24,30338548.0,40.0,6.0,3.0,10.0,1500.0,1668701718.0,2021-03-01,3.3624794130982987,-0.2231435513142097,6.9985096422506015,-23,24,3,2021
2021-03-24,30338548.0,40.0,6.0,3.0,10.0,1500.0,1668701718.0,2021-03-01,3.5535834884027944,-0.35667494393873245,7.01301578963963,-23,24,3,2021
2021-03-24,30338548.0,40.0,6.0,3.0,10.0,1250.0,1668701718.0,2021-03-01,3.2202684555078456,0.0,6.982862751468942,-23,24,3,2021
2021-03-24,30205061.0,26.0,6.0,3.0,10.0,1500.0,1668701718.0,2021-03-01,3.58315874081495,0.4054651081081644,6.858565034791365,-23,24,3,2021
2021-03-24,30199269.0,27.0,1.0,3.0,10.0,1165.0,1668701718.0,2021-03-01,6.168481639448002,0.5877866649021191,6.587550014824796,-23,24,3,2021
2021-03-23,30161289.0,26.0,1.0,3.0,10.0,1280.0,1670798778.0,2021-01-01,3.484753109295,0.9162907318741551,6.422217062276239,-81,23,3,2021
